Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
0,1,1,2,1,1,4,4,5,77.50
1,1,1,3,1,1,1,3,3,83.00
0,1,0,0,0,0,1,3,3,80.00
0,1,3,5,1,1,2,2,3,45.00
1,1,1,1,2,1,1,3,4,85.00
0,1,1,5,1,1,1,2,2,80.00
0,1,1,2,2,1,2,3,3,55.00
0,1,1,5,2,1,2,3,3,80.00
1,1,2,1,1,1,3,3,5,60.00
0,1,2,5,2,1,1,2,4,88.00
1,1,4,1,1,1,2,4,2,80.00
0,1,0,0,0,0,2,4,4,45.00
1,1,3,3,2,1,2,5,5,90.00
1,1,4,1,2,1,2,5,5,74.00
1,1,3,5,5,1,2,4,4,95.00
1,1,2,4,3,1,1,3,3,50.00
0,1,1,5,1,1,1,4,1,98.00
1,1,2,2,3,1,2,5,3,90.00
1,1,3,3,2,1,3,3,4,87.00
0,1,0,0,0,0,2,2,3,55.00
0,1,2,2,2,1,4,4,4,95.00
1,1,1,4,1,1,1,3,2,70.00
1,1,1,5,1,1,3,4,1,70.00
1,1,3,2,2,1,1,3,3,45.00
0,1,0,0,0,0,1,4,3,80.00
1,1,2,2,1,1,2,2,2,65.00
0,1,1,5,1,1,1,2,5,95.00
1,1,0,0,0,0,3,4,3,45.00
1,1,4,1,3,1,2,2,2,76.50
1,1,2,2,1,1,2,4,2,61.00
0,1,0,0,0,0,3,3,2,95.00
0,1,1,4,1,1,1,2,2,80.00
0,1,0,0,0,0,1,2,4,85.00
0,1,0,0,0,0,1,2,4,99.00
1,1,2,2,1,1,3,3,2,77.00
1,1,0,0,0,0,3,2,2,90.00
0,1,2,4,1,1,2,4,4,100
1,1,4,3,3,1,2,5,4,80.00
0,1,0,0,0,0,3,3,2,99.00
1,1,2,3,3,1,2,2,2,70.00
1,1,4,1,5,1,2,2,2,50.00
0,1,2,1,3,1,2,4,3,80.00
0,1,0,0,0,0,3,2,2,55.00
0,1,1,4,1,1,2,5,4,75.00
1,1,4,1,3,1,2,4,5,69.00
0,1,2,4,2,1,3,5,5,95.00
0,1,1,2,1,1,1,3,3,55.00
1,1,4,1,2,1,3,3,2,60.00
1,1,2,4,3,1,2,2,2,60.00
1,1,2,1,3,1,1,2,3,45.00
0,1,1,5,1,1,2,4,4,65.00
0,1,1,4,1,1,1,5,2,50.00
0,1,1,4,3,1,1,2,2,75.00
1,1,0,0,0,0,3,3,3,70.00
1,1,1,5,1,1,3,3,4,98.00
0,1,0,0,0,0,1,2,3,67.00
0,1,0,0,0,0,2,3,2,55.00
1,1,4,2,2,1,1,4,3,60.00
1,1,3,3,1,1,2,4,4,100
1,1,4,3,1,1,1,4,4,65.00
0,1,0,0,0,0,3,6,6,95.00
1,1,4,1,2,1,2,2,2,95.00
0,1,2,4,1,1,2,4,3,79.00
0,1,1,2,1,1,2,5,3,50.00
1,1,2,2,1,1,1,3,2,70.00
0,1,1,5,1,1,2,2,3,50.00
0,1,0,0,0,0,1,3,1,36.50
0,1,0,0,0,0,2,3,5,50.00
0,1,0,0,0,0,3,6,5,90.00
1,1,3,4,2,1,2,5,4,65.00
0,1,0,0,0,0,3,0,4,90.00
1,1,1,3,2,1,1,2,1,70.00
1,1,4,5,3,1,4,6,6,80.00
1,1,4,3,2,1,3,6,6,65.00
0,1,3,5,1,1,4,5,5,90.00
1,1,4,3,3,1,3,4,5,70.00
1,1,4,5,5,1,3,6,6,92.00
0,1,4,5,2,1,2,4,4,85.00
1,1,4,4,2,1,2,5,5,93.00
1,1,4,4,2,1,2,3,2,77.00
1,1,4,4,2,1,1,2,3,93.00
0,1,3,5,1,1,1,3,3,50.00
1,1,4,1,2,1,2,4,4,55.00
0,1,1,5,1,1,1,2,1,93.00
1,1,4,1,4,1,1,4,4,50.00
1,1,4,5,5,1,2,5,3,65.00
1,1,4,1,3,1,1,4,4,50.00
1,1,0,0,0,0,1,2,1,60.00
0,1,1,4,3,1,1,3,1,70.00
0,1,1,4,2,1,2,3,3,95.00
1,1,0,0,0,0,2,6,4,100
0,1,2,5,1,1,2,3,2,80.00
0,1,1,2,1,1,2,2,2,90.70
0,1,2,3,2,1,2,4,4,78.00
